c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,106.2,299.0,147.9,1800,11310,3428,18.4,12.5,69.2,,5/24,422,5196
6,36,0,253.1,442.5,234.4,4876,16118,6293,12.8,3.5,83.6,,8/36,607,5211
8,48,0,354.0,520.7,325.5,8868,19094,9481,10.7,1.1,88.2,,10/48,831,5266
10,60,0,500.6,680.4,442.0,13609,28371,14304,9.1,0.7,90.3,,10/60,1083,5417
12,72,0,588.6,800.7,523.1,17261,33388,17815,8.5,0.1,91.4,,14/72,1314,5436
