c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,114.5,171.3,102.3,1314,4648,1754,35.4,26.5,38.1,0.98,6/24,441,5364
6,36,0,187.3,340.2,184.2,2882,12110,4180,23.9,22.2,54.0,0.99,8/36,664,5393
8,48,0,300.2,524.2,283.3,6380,17931,7704,15.6,19.7,64.7,0.99,11/48,912,5316
10,60,0,464.7,649.9,406.4,12109,25908,12760,11.7,15.0,73.3,0.99,10/60,1172,5540
12,72,0,523.8,789.7,466.5,16317,32920,16597,12.1,12.5,75.4,0.99,12/72,1353,5372
