c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,106.4,273.9,139.5,1669,9772,3057,21.1,13.6,65.3,0.98,6/24,417,5184
6,36,0,245.5,453.4,227.5,4705,16036,5893,13.2,6.0,80.9,0.98,8/36,610,5197
8,48,0,361.5,541.1,319.2,9761,19937,9921,9.7,3.2,87.1,0.98,10/48,831,5266
10,60,0,455.0,699.8,422.8,13720,29304,14504,8.4,0.7,90.9,0.99,11/60,1074,5404
12,72,0,566.2,809.6,520.6,18789,35267,19165,8.0,0.3,91.7,0.99,14/72,1314,5436
