c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,144.6,254.7,132.8,1834,9027,2770,25.8,19.8,54.5,,6/24,443,5413
6,36,0,239.3,386.6,220.4,3972,13972,5385,19.3,13.1,67.6,,8/36,664,5360
8,48,0,367.8,511.6,323.2,8516,19414,8807,14.0,13.9,72.1,,8/48,934,5520
10,60,0,455.9,619.5,405.3,12046,24504,12855,10.6,12.3,77.1,,12/60,1140,5453
12,72,0,565.8,776.6,498.0,17694,33676,18116,9.9,10.0,80.1,,14/72,1346,5380
