c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,149.8,229.8,133.5,1723,7504,2583,32.3,14.3,53.3,0.99,6/24,443,5432
6,36,0,239.6,372.0,218.4,3807,12860,4927,23.0,10.2,66.7,0.99,8/36,664,5360
8,48,0,326.1,478.6,300.0,7443,17510,7925,18.1,8.9,73.0,0.99,10/48,902,5323
10,60,0,467.7,636.2,412.4,12343,25420,12975,14.5,8.7,76.8,0.99,12/60,1141,5463
12,72,0,537.3,764.7,470.3,16690,31087,16678,13.4,8.1,78.5,0.99,15/72,1330,5324
