c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,147.3,235.9,132.2,1670,8386,2610,26.0,20.1,53.9,0.99,6/24,443,5413
6,36,0,241.7,397.9,222.1,4227,12888,5194,19.9,11.9,68.1,0.99,8/36,664,5360
8,48,0,344.8,479.6,296.6,7451,18185,8055,15.7,13.4,70.9,0.99,10/48,902,5363
10,60,0,469.2,660.0,414.6,12689,29169,13373,10.1,12.1,77.8,0.99,12/60,1140,5459
12,72,0,566.8,840.9,505.1,17301,36484,18043,9.8,9.1,81.0,0.99,13/72,1362,5401
