c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
4,24,0,136.5,227.2,122.8,1610,7094,2377,34.8,18.9,46.3,0.99,6/24,443,5432
6,36,0,208.2,370.6,212.0,3691,14409,5074,23.2,16.8,60.0,0.99,8/36,664,5360
8,48,0,343.8,478.7,307.4,7612,17982,8322,18.2,12.9,68.9,0.99,10/48,902,5369
10,60,0,497.0,679.8,436.6,13309,28845,13931,14.0,10.7,75.3,0.99,11/60,1156,5512
12,72,0,547.8,802.9,494.1,18219,32404,17880,13.8,8.7,77.5,0.99,15/72,1330,5321
