c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
24,72,0,230.5,337.9,235.4,3794,8141,4075,49.0,7.1,43.9,0.93,34/72,1466,1532
32,96,0,308.1,443.5,315.9,7735,13753,7868,34.2,22.8,43.0,0.94,51/96,1944,1572
40,120,0,412.6,595.5,416.9,12730,19763,12497,25.5,31.4,43.1,0.93,60/120,2459,1604
48,144,0,481.3,652.5,488.3,15782,23072,15580,18.8,37.1,44.1,0.93,63/144,2972,1581
52,156,0,555.5,761.4,573.8,18098,37670,19406,15.5,35.8,48.8,0.93,75/156,3205,1599
