c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
24,72,0,322.7,443.6,326.7,5261,9750,5272,22.3,5.0,72.7,0.92,38/72,1472,1577
32,96,0,429.4,595.0,436.8,11031,17575,10475,21.2,6.1,72.7,0.93,49/96,1956,1603
40,120,0,544.3,757.4,548.5,16075,25371,15512,20.7,6.3,73.0,0.92,63/120,2466,1602
48,144,0,687.2,945.3,683.1,21601,35074,21600,20.8,4.4,74.9,0.92,71/144,2978,1580
52,156,0,747.9,969.6,743.8,24712,38822,24538,20.6,4.6,74.9,0.92,75/156,3228,1611
