c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
24,72,0,348.6,543.7,364.3,7508,15088,7356,20.6,1.9,77.5,,36/72,1493,1585
32,96,0,468.5,682.7,477.5,11516,19248,11304,20.7,1.0,78.2,,51/96,2000,1614
40,120,0,599.9,797.9,597.5,17850,26367,16942,19.9,1.2,79.0,,55/120,2496,1606
48,144,0,736.6,1005.2,731.6,24894,35341,23288,20.1,1.0,78.9,,62/144,2990,1610
52,156,0,810.6,1058.6,800.8,28535,37774,26204,20.0,1.3,78.7,,70/156,3276,1632
