c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
24,72,0,363.7,494.5,365.0,5975,12471,6214,18.4,3.9,77.7,,37/72,1486,1615
32,96,0,456.4,641.3,467.5,11428,18785,11138,18.9,1.9,79.2,,46/96,1962,1597
40,120,0,616.6,866.5,616.1,19620,30417,18141,19.0,1.5,79.5,,54/120,2490,1617
48,144,0,734.2,1031.1,741.4,25783,38347,24394,19.4,1.2,79.4,,68/144,2970,1608
52,156,0,792.8,1204.8,804.4,26798,43059,27020,19.9,1.7,78.4,,76/156,3236,1619
