c,sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,device_pct,host_pct,miss_pct,predicted_hit,accuracy,calls,prompt_tokens_per_call
24,72,0,339.3,492.8,343.2,5701,11549,5718,19.0,4.2,76.8,,37/72,1472,1575
32,96,0,452.8,620.9,462.7,11878,18742,11238,19.0,1.5,79.5,,49/96,1942,1596
40,120,0,591.9,824.0,607.4,18693,32030,18136,19.0,1.5,79.5,,59/120,2458,1615
48,144,0,737.4,1018.6,743.0,25335,39092,24464,19.3,1.1,79.6,,71/144,2972,1611
52,156,0,779.5,1072.3,782.0,27461,37970,25781,18.9,1.6,79.5,,76/156,3228,1620
