run,model,concurrency,arm,Device Cache Size,Host Cache Size (16 GB),sessions,failed,jct_p50_s,jct_p95_s,jct_mean_s,ttft_p50_ms,ttft_mean_ms,ttft_p95_ms,ttft_p50_inv2_ms,calls,prompt_tokens_per_call,device_pct,host_pct,miss_pct,output_tokens,decode_ms_per_token,demand_loads,load_ms_p50,promotions_started,accuracy
q8b,Qwen/Qwen3-8B,8,lru,31830,108506,48,0,87.3,184.7,101.6,745,1138,3861,777,734,3442,19.3,35.0,45.7,69800,43.80,448,71,0,16/48
q8b,Qwen/Qwen3-8B,8,ours,31830,108506,48,0,96.6,179.3,108.0,999,1311,4284,1093,737,3605,19.3,34.5,46.2,73653,43.46,485,75,51,18/48
q8b,Qwen/Qwen3-8B,12,lru,31830,108506,72,0,152.6,323.7,185.8,5063,4976,11937,5298,1088,3735,12.8,20.5,66.7,104404,56.85,459,87,0,29/72
q8b,Qwen/Qwen3-8B,12,ours,31830,108506,72,0,155.2,304.5,170.1,4503,4544,10507,4716,1072,3736,13.8,28.1,58.1,103523,52.56,625,82,51,31/72
q8b,Qwen/Qwen3-8B,14,lru,31830,108506,84,0,197.1,405.6,228.4,8524,7838,15485,8877,1226,3825,10.7,15.7,73.6,119517,58.45,450,93,0,35/84
q8b,Qwen/Qwen3-8B,14,ours,31830,108506,84,0,147.9,317.2,185.3,6485,5909,11527,6798,1165,3573,13.2,25.6,61.2,113817,55.50,605,84,61,30/84
q8b,Qwen/Qwen3-8B,16,lru,31830,108506,96,0,197.8,491.4,257.4,10684,9699,18069,10991,1378,3795,10.7,14.5,74.8,136306,59.34,458,98,0,35/96
q8b,Qwen/Qwen3-8B,16,ours,31830,108506,96,0,181.4,434.5,230.5,9796,8817,16077,10204,1339,3817,11.3,24.6,64.2,130974,55.71,686,88,70,43/96
